gene_id	lsv_id	lsv_type	mean_psi_per_lsv_junction	stdev_psi_per_lsv_junction	num_junctions	num_exons	junctions_coords	ir_coords
AT5G18525.Araport11.447	AT5G18525.Araport11.447:s:6150150-6150222	s|1e1.1o1|2e1.1o1	0.1103;0.8897	0.0598;0.0598	2	2	6150061-6150160;6150061-6150150	
AT1G01140.Araport11.447	AT1G01140.Araport11.447:s:65563-65652	s|1e1.1o2|1e1.2o2	0.9864;0.0136	0.0057;0.0057	2	2	65456-65563;65440-65563	
AT2G36390.Araport11.447	AT2G36390.Araport11.447:s:15268681-15268784	s|1e1.1o2|1e1.2o2	0.9543;0.0457	0.0170;0.0170	2	2	15268784-15268879;15268784-15268883	
AT5G18525.Araport11.447	AT5G18525.Araport11.447:s:6149155-6149363	s|1e1.1o2|1e1.2o2|2e1.2o2	0.0673;0.0515;0.8868	0.0357;0.0289;0.0450	3	2	6149085-6149168;6149076-6149168;6149076-6149155	
AT1G01170.Araport11.447	AT1G01170.Araport11.447:s:74661-na	s|1e1.1o2|1e1.2o2	0.9652;0.0348	0.0196;0.0196	2	2	74455-74661;74449-74661	
AT5G18540.Araport11.447	AT5G18540.Araport11.447:s:6155560-6155673	s|1e1.1o1|1e2.1o1	0.5367;0.4633	0.0771;0.0771	2	3	6155673-6155815;6155673-6155821	
AT5G18550.Araport11.447	AT5G18550.Araport11.447:s:6161949-6162242	s|1e1.1o1|2e1.1o1	0.1532;0.8468	0.0503;0.0503	2	2	6162203-6162370;6162242-6162370	
AT1G78680.Araport11.447	AT1G78680.Araport11.447:s:29594519-29594608	s|1e1.1o2|1e1.2o2	0.8970;0.1030	0.0307;0.0307	2	2	29594608-29594725;29594608-29594730	
AT4G33920.Araport11.447	AT4G33920.Araport11.447:s:16261391-16261767	s|1e1.1o1|1e2.1o1	0.0401;0.9599	0.0088;0.0088	2	3	16261767-16261916;16261767-16262107	
AT2G36410.Araport11.447	AT2G36410.Araport11.447:s:na-15279355	s|1e1.1o2|1e1.2o2	0.1521;0.8479	0.0354;0.0354	2	2	15279355-15279590;15279355-15279708	
AT4G33920.Araport11.447	AT4G33920.Araport11.447:t:16261391-16261767	t|1e1.1o1|1e2.1o1	0.9640;0.0360	0.0134;0.0134	2	3	16261134-16261391;16261310-16261391	
AT4G33920.Araport11.447	AT4G33920.Araport11.447:t:16262107-16262343	t|1e1.1o1|1e2.1o1	0.9662;0.0338	0.0105;0.0105	2	3	16261767-16262107;16261983-16262107	
AT2G36410.Araport11.447	AT2G36410.Araport11.447:s:15279997-15280077	s|1e1.1o1|1e2.1o1	0.4044;0.5956	0.0442;0.0442	2	3	15280077-15280190;15280077-15280199	
AT1G78680.Araport11.447	AT1G78680.Araport11.447:s:29594725-29594819	s|1e1.1o2|1e1.2o2	0.0390;0.9610	0.0160;0.0160	2	2	29594819-29594907;29594819-29594912	
AT1G17370.Araport11.447	AT1G17370.Araport11.447:s:5954721-na	s|1e1.1o1|1e2.1o1	0.9361;0.0639	0.0328;0.0328	2	3	5954279-5954721;5953842-5954721	
AT4G36940.Araport11.447	AT4G36940.Araport11.447:s:17418370-17418486	s|1e1.1o2|1e1.2o2	0.1008;0.8992	0.0459;0.0459	2	2	17418486-17418565;17418486-17418585	
AT4G36940.Araport11.447	AT4G36940.Araport11.447:s:17419397-17419505	s|1e2.1o1|2e1.1o1	0.0416;0.9584	0.0260;0.0260	2	3	17419477-17419743;17419505-17419586	
AT1G01220.Araport11.447	AT1G01220.Araport11.447:s:91743-92089	s|1e1.1o1|2e1.1o1	0.7715;0.2285	0.0908;0.0908	2	2	92070-92270;92089-92270	
AT3G52920.Araport11.447	AT3G52920.Araport11.447:s:19625658-19625738	s|1e1.1o1|1e2.1o1	0.4625;0.5375	0.0619;0.0619	2	3	19625738-19625859;19625738-19625868	
AT4G33940.Araport11.447	AT4G33940.Araport11.447:s:16266662-16266858	s|1e1.1o2|1e1.2o2	0.9390;0.0610	0.0265;0.0265	2	2	16266858-16266985;16266858-16266988	
AT1G17370.Araport11.447	AT1G17370.Araport11.447:t:5953740-5953842	t|1e1.1o1|1e2.1o1	0.1081;0.8919	0.0501;0.0501	2	3	5953842-5954721;5953842-5954218	
AT4G33950.Araport11.447	AT4G33950.Araport11.447:t:16272846-16272920	t|1e1.1o1|1e2.1o1	0.1049;0.8951	0.0639;0.0639	2	3	16272526-16272846;16272534-16272846	
AT1G01240.Araport11.447	AT1G01240.Araport11.447:t:100657-na	t|1e1.1o1|1e2.1o1	0.9275;0.0725	0.0374;0.0374	2	3	100031-100657;100220-100657	
AT5G45140.Araport11.447	AT5G45140.Araport11.447:t:18257688-18257746	t|1e1.1o1|1e2.1o1	0.7980;0.2020	0.1032;0.1032	2	3	18257746-18258053;18257746-18257971	
AT2G20010.Araport11.447	AT2G20010.Araport11.447:t:na-8640688	t|1e1.1o1|1e2.1o1	0.0891;0.9109	0.0476;0.0476	2	3	8640688-8640770;8640688-8640765	
AT1G17380.Araport11.447	AT1G17380.Araport11.447:s:5956893-na	s|1e1.1o1|1e2.1o1	0.0084;0.9916	0.0013;0.0013	2	3	5956803-5956893;5956587-5956893	
AT1G17380.Araport11.447	AT1G17380.Araport11.447:t:5956497-5956587	t|1e1.1o1|1e2.1o1	0.9929;0.0071	0.0013;0.0013	2	3	5956587-5956893;5956587-5956774	
AT5G18620.Araport11.447	AT5G18620.Araport11.447:s:6196327-6196431	s|1e1.1o1|2e1.1o1	0.7211;0.2789	0.0874;0.0874	2	2	6196207-6196336;6196207-6196327	
AT4G36980.Araport11.447	AT4G36980.Araport11.447:s:17436421-17436573	s|1e1.1o1|2e1.1o1	0.9246;0.0754	0.0324;0.0324	2	2	17436286-17436425;17436286-17436421	
AT5G45190.Araport11.447	AT5G45190.Araport11.447:s:18280507-18280765	s|1e1.1o1|1e2.1o1	0.6619;0.3381	0.0692;0.0692	2	3	18280078-18280507;18279656-18280507	
AT4G36980.Araport11.447	AT4G36980.Araport11.447:s:17435729-17436023	s|1e1.1o2|1e1.2o2	0.9728;0.0272	0.0166;0.0166	2	2	17435627-17435729;17435624-17435729	
AT3G52990.Araport11.447	AT3G52990.Araport11.447:s:19651093-19651181	s|1e1.1o2|1e1.2o2	0.9890;0.0110	0.0048;0.0048	2	2	19651181-19651320;19651181-19651324	
AT1G01320.Araport11.447	AT1G01320.Araport11.447:s:128028-128312	s|1e1.1o2|1e1.2o2	0.0822;0.9178	0.0378;0.0378	2	2	127952-128028;127935-128028	
AT4G33980.Araport11.447	AT4G33980.Araport11.447:s:16283930-16284088	s|1e1.1o2|1e1.2o2	0.9867;0.0133	0.0053;0.0053	2	2	16283846-16283930;16283816-16283930	
AT5G45190.Araport11.447	AT5G45190.Araport11.447:t:18279522-18279656	t|1e1.1o1|1e2.1o1	0.4467;0.5533	0.0947;0.0947	2	3	18279656-18280507;18279656-18279997	
AT1G01340.Araport11.447	AT1G01340.Araport11.447:s:135708-na	s|1e1.1o1|1e2.1o1	0.3095;0.6905	0.1209;0.1209	2	3	135269-135708;135104-135708	
AT2G20050.Araport11.447	AT2G20050.Araport11.447:t:8652897-8653028	t|1e1.1o1|1e2.1o1	0.8677;0.1323	0.0478;0.0478	2	3	8653028-8653120;8653028-8653115	
AT4G34000.Araport11.447	AT4G34000.Araport11.447:t:16295960-na	t|1e1.1o1|1e2.1o1	0.1232;0.8768	0.0867;0.0867	2	3	16295469-16295960;16295845-16295960	
AT2G20050.Araport11.447	AT2G20050.Araport11.447:s:8652202-8652264	s|1e1.1o2|1e1.2o2	0.9106;0.0894	0.0451;0.0451	2	2	8652121-8652202;8652112-8652202	
AT4G34020.Araport11.447	AT4G34020.Araport11.447:s:16300088-16300237	s|1e1.1o2|1e1.2o2	0.6625;0.3375	0.0975;0.0975	2	2	16300011-16300088;16299998-16300088	
AT1G01340.Araport11.447	AT1G01340.Araport11.447:s:133911-134206	s|1e1.1o1|2e1.1o1	0.1282;0.8718	0.0723;0.0723	2	2	133752-134128;133752-133911	
AT1G01340.Araport11.447	AT1G01340.Araport11.447:t:na-135104	t|1e1.1o1|1e2.1o1	0.4694;0.5306	0.1098;0.1098	2	3	135104-135708;135104-135188	
AT1G78690.Araport11.447	AT1G78690.Araport11.447:s:na-29596723	s|1e1.1o2|1e1.2o2	0.1667;0.8333	0.1540;0.1540	2	2	29596723-29596844;29596723-29596983	
AT3G04890.Araport11.447	AT3G04890.Araport11.447:s:1348801-1348879	s|1e1.1o1|1e2.1o1	0.1186;0.8814	0.0439;0.0439	2	3	1348879-1348958;1348879-1348977	
AT5G18630.Araport11.447	AT5G18630.Araport11.447:s:6202962-6203037	s|1e1.1o1|2e1.1o1	0.4400;0.5600	0.0847;0.0847	2	2	6203034-6203416;6203037-6203416	
AT4G34070.Araport11.447	AT4G34070.Araport11.447:s:16324544-16324648	s|1e1.1o2|1e1.2o2	0.0487;0.9513	0.0332;0.0332	2	2	16324470-16324544;16324385-16324544	
AT1G17410.Araport11.447	AT1G17410.Araport11.447:s:5969713-na	s|1e1.1o2|1e1.2o2	0.2569;0.7431	0.1105;0.1105	2	2	5969487-5969713;5969479-5969713	
AT1G78690.Araport11.447	AT1G78690.Araport11.447:s:29597625-29597710	s|1e1.1o2|1e1.2o2	0.3330;0.6670	0.1049;0.1049	2	2	29597710-29597789;29597710-29597792	
AT3G04910.Araport11.447	AT3G04910.Araport11.447:s:1355240-1355277	s|1e1.1o1|2e1.1o1	0.0595;0.9405	0.0226;0.0226	2	2	1355275-1355718;1355277-1355718	
AT1G78690.Araport11.447	AT1G78690.Araport11.447:s:29597789-29597929	s|1e1.1o1|1e2.1o1	0.2738;0.7262	0.1680;0.1680	2	3	29597929-29598088;29597929-29598119	
AT1G17410.Araport11.447	AT1G17410.Araport11.447:s:5969259-5969487	s|1e1.1o1|2e1.1o1	0.7331;0.2669	0.0909;0.0909	2	2	5969165-5969263;5969165-5969259	
AT4G34100.Araport11.447	AT4G34100.Araport11.447:s:16333115-16333483	s|1e1.1o2|1e1.2o2	0.7420;0.2580	0.0403;0.0403	2	2	16333483-16333643;16333483-16333646	
AT3G04920.Araport11.447	AT3G04920.Araport11.447:t:1361360-1361401	t|1e1.1o1|1e2.1o1	0.0112;0.9888	0.0044;0.0044	2	3	1361056-1361360;1361060-1361360	
AT4G37180.Araport11.447	AT4G37180.Araport11.447:s:na-17504873	s|1e1.1o2|1e1.2o2	0.0290;0.9710	0.0197;0.0197	2	2	17504873-17504945;17504873-17504966	
AT4G34110.Araport11.447	AT4G34110.Araport11.447:s:16338285-16338362	s|1e1.1o3|2e1.2o3|2e1.3o3	0.0080;0.9868;0.0060	0.0010;0.0055;0.0004	3	2	16338360-16338436;16338362-16338438;16338362-16338447	
AT5G18630.Araport11.447	AT5G18630.Araport11.447:s:6204582-6204776	s|1e1.1o2|1e1.2o2	0.0556;0.9444	0.0288;0.0288	2	2	6204776-6204907;6204776-6204937	
AT3G04970.Araport11.447	AT3G04970.Araport11.447:s:1377322-1377374	s|1e1.1o2|1e1.2o2	0.1557;0.8443	0.0886;0.0886	2	2	1377374-1377476;1377374-1377486	
AT4G37180.Araport11.447	AT4G37180.Araport11.447:s:17505217-17505532	s|1e1.1o2|1e1.2o2	0.0730;0.9270	0.0253;0.0253	2	2	17505532-17505643;17505532-17505647	
AT4G15880.Araport11.447	AT4G15880.Araport11.447:s:9014155-9014253	s|1e1.1o2|1e1.2o2	0.0587;0.9413	0.0330;0.0330	2	2	9014253-9014430;9014253-9014550	
AT3G53020.Araport11.447	AT3G53020.Araport11.447:s:19661445-19661523	s|1e1.1o2|2e1.2o2	0.9925;0.0075	0.0006;0.0006	2	2	19661350-19661448;19661346-19661445	
AT5G45280.Araport11.447	AT5G45280.Araport11.447:s:na-18345706	s|1e1.1o1|1e2.1o1	0.9661;0.0339	0.0198;0.0198	2	3	18345706-18346861;18345706-18347347	
AT5G18640.Araport11.447	AT5G18640.Araport11.447:t:6213280-6213352	t|1e1.1o1|1e2.1o1	0.1101;0.8899	0.0497;0.0497	2	3	6213067-6213280;6213160-6213280	
AT1G01470.Araport11.447	AT1G01470.Araport11.447:s:172621-na	s|1e1.1o1|1e2.1o1	0.9978;0.0022	0.0000;0.0000	2	3	172544-172621;172540-172621	
AT5G45280.Araport11.447	AT5G45280.Araport11.447:t:18347347-18347429	t|1e1.1o1|1e2.1o1	0.0362;0.9638	0.0215;0.0215	2	3	18345706-18347347;18346973-18347347	
AT5G18640.Araport11.447	AT5G18640.Araport11.447:s:6213767-6213832	s|1e1.1o2|1e1.2o2	0.0897;0.9103	0.0430;0.0430	2	2	6213832-6213927;6213832-6213937	
AT4G34140.Araport11.447	AT4G34140.Araport11.447:s:16352002-16352085	s|1e1.1o1|2e1.1o1	0.0925;0.9075	0.0492;0.0492	2	2	16352079-16352342;16352085-16352342	
AT3G22430.Araport11.447	AT3G22430.Araport11.447:s:na-7954323	s|1e1.1o1|1e2.1o1	0.8545;0.1455	0.0794;0.0794	2	3	7954323-7956137;7954323-7957250	
AT4G34140.Araport11.447	AT4G34140.Araport11.447:s:16352342-16352617	s|1e1.1o2|1e1.2o2	0.9364;0.0636	0.0313;0.0313	2	2	16352617-16352765;16352617-16352770	
AT3G22430.Araport11.447	AT3G22430.Araport11.447:t:7957250-na	t|1e1.1o1|1e2.1o1	0.1247;0.8753	0.0789;0.0789	2	3	7954323-7957250;7956444-7957250	
AT4G15900.Araport11.447	AT4G15900.Araport11.447:s:9025145-9025237	s|1e1.1o2|1e1.2o2	0.0263;0.9737	0.0161;0.0161	2	2	9025237-9025340;9025237-9025452	
AT4G37270.Araport11.447	AT4G37270.Araport11.447:t:17545602-17545752	t|1e1.1o1|1e2.1o1	0.9075;0.0925	0.0567;0.0567	2	3	17545752-17545852;17545752-17545847	
AT2G36670.Araport11.447	AT2G36670.Araport11.447:s:15367724-na	s|1e1.1o1|1e2.1o1	0.6792;0.3208	0.0880;0.0880	2	3	15367414-15367724;15367302-15367724	
AT3G53090.Araport11.447	AT3G53090.Araport11.447:s:na-19680888	s|1e1.1o1|1e2.1o1	0.6398;0.3602	0.1063;0.1063	2	3	19680888-19681053;19680888-19681063	
AT4G34140.Araport11.447	AT4G34140.Araport11.447:s:16352765-16352973	s|1e1.1o2|1e1.2o2	0.1521;0.8479	0.0578;0.0578	2	2	16352973-16353073;16352973-16353076	
AT2G36670.Araport11.447	AT2G36670.Araport11.447:t:15367173-15367302	t|1e1.1o1|1e2.1o1	0.3335;0.6665	0.1033;0.1033	2	3	15367302-15367724;15367302-15367400	
AT3G53090.Araport11.447	AT3G53090.Araport11.447:s:19682929-19683197	s|1e1.1o1|2e1.1o1	0.6880;0.3120	0.0918;0.0918	2	2	19683181-19683291;19683197-19683291	
AT2G36680.Araport11.447	AT2G36680.Araport11.447:s:15369449-15369495	s|1e1.1o2|1e1.2o2	0.9417;0.0583	0.0322;0.0322	2	2	15369366-15369449;15369361-15369449	
AT4G37270.Araport11.447	AT4G37270.Araport11.447:s:17545321-17545505	s|1e1.1o1|2e1.1o1	0.1309;0.8691	0.0485;0.0486	2	2	17545190-17545326;17545190-17545321	
AT5G45350.Araport11.447	AT5G45350.Araport11.447:s:18383658-na	s|1e1.1o1|1e2.1o1	0.0551;0.9449	0.0342;0.0342	2	3	18383283-18383658;18382877-18383658	
AT5G45350.Araport11.447	AT5G45350.Araport11.447:t:18382560-18382877	t|1e1.1o1|1e2.1o1	0.8654;0.1346	0.0448;0.0448	2	3	18382877-18383658;18382877-18383145	
AT4G34140.Araport11.447	AT4G34140.Araport11.447:s:16353267-16353359	s|1e1.1o2|1e1.2o2	0.6762;0.3238	0.0708;0.0708	2	2	16353359-16353608;16353359-16353611	
AT1G17420.Araport11.447	AT1G17420.Araport11.447:s:5979571-5979764	s|1e1.1o2|1e1.2o2	0.0112;0.9888	0.0013;0.0012	2	2	5979764-5979836;5979764-5979856	
AT4G37270.Araport11.447	AT4G37270.Araport11.447:s:17543363-17543468	s|1e1.1o2|1e1.2o2	0.9580;0.0420	0.0251;0.0251	2	2	17543210-17543363;17543206-17543363	
AT2G36720.Araport11.447	AT2G36720.Araport11.447:s:15398303-15398367	s|1e1.1o2|1e1.2o2	0.9449;0.0551	0.0333;0.0333	2	2	15398367-15398454;15398367-15398458	
AT5G18680.Araport11.447	AT5G18680.Araport11.447:s:6229432-6229596	s|1e1.1o1|2e1.1o1	0.9033;0.0967	0.0457;0.0457	2	2	6229242-6229467;6229242-6229432	
AT5G45410.Araport11.447	AT5G45410.Araport11.447:s:18403742-na	s|1e1.1o1|1e2.1o1	0.0439;0.9561	0.0264;0.0264	2	3	18403599-18403742;18403303-18403742	
AT4G34150.Araport11.447	AT4G34150.Araport11.447:t:16355187-16355291	t|1e1.1o1|1e2.1o1|2e2.1o1	0.0047;0.9832;0.0119	0.0002;0.0090;0.0045	3	3	16355073-16355187;16355080-16355187;16355080-16355201	
AT4G34150.Araport11.447	AT4G34150.Araport11.447:s:16355399-16355525	s|1e1.1o2|1e1.2o2	0.9973;0.0027	0.0000;0.0000	2	2	16355525-16355617;16355525-16355630	
AT5G45410.Araport11.447	AT5G45410.Araport11.447:t:18403169-18403303	t|1e1.1o1|1e2.1o2|1e2.2o2	0.9135;0.0413;0.0407	0.0358;0.0228;0.0269	3	3	18403303-18403742;18403303-18403512;18403303-18403495	
AT2G20142.Araport11.447	AT2G20142.Araport11.447:s:8695720-8695838	s|1e1.1o2|1e1.2o2	0.3352;0.6648	0.0428;0.0428	2	2	8695838-8695951;8695838-8695980	
AT4G34150.Araport11.447	AT4G34150.Araport11.447:s:16355617-16355688	s|1e1.1o1|1e2.1o1	0.0315;0.9685	0.0078;0.0078	2	3	16355688-16356098;16355688-16356378	
AT4G34150.Araport11.447	AT4G34150.Araport11.447:t:16356378-16356423	t|1e1.1o1|1e2.1o1	0.9630;0.0370	0.0049;0.0049	2	3	16355688-16356378;16356177-16356378	
AT5G45430.Araport11.447	AT5G45430.Araport11.447:s:na-18411422	s|1e1.1o1|1e2.1o1	0.9862;0.0138	0.0083;0.0083	2	3	18411422-18411500;18411422-18411506	
AT3G53180.Araport11.447	AT3G53180.Araport11.447:s:19708065-19708202	s|1e1.1o1|2e1.1o1	0.7403;0.2597	0.0586;0.0586	2	2	19708170-19708313;19708202-19708313	
AT4G34240.Araport11.447	AT4G34240.Araport11.447:s:16391617-16391721	s|1e1.1o2|1e1.2o2	0.9575;0.0425	0.0208;0.0208	2	2	16391721-16391809;16391721-16391813	
AT5G18830.Araport11.447	AT5G18830.Araport11.447:s:6277687-6277786	s|1e1.1o1|2e1.1o1	0.8736;0.1264	0.0600;0.0600	2	2	6277761-6277864;6277786-6277864	
AT5G45430.Araport11.447	AT5G45430.Araport11.447:s:18408093-18408316	s|1e1.1o1|1e2.1o2	0.9718;0.0282	0.0168;0.0168	2	3	18408316-18408712;18408316-18409059	
AT3G53270.Araport11.447	AT3G53270.Araport11.447:s:19752995-na	s|1e1.1o1|1e2.1o2|1e3.1o1	0.2874;0.4697;0.2295	0.0865;0.0815;0.0713	3	4	19752683-19752995;19752580-19752995;19752177-19752995	
AT4G34265.Araport11.447	AT4G34265.Araport11.447:s:16402617-16402780	s|1e1.1o1|1e2.1o1|2e2.1o1	0.3759;0.5621;0.0600	0.0547;0.0552;0.0258	3	3	16402735-16402958;16402735-16403455;16402780-16403455	
AT3G53270.Araport11.447	AT3G53270.Araport11.447:t:19752428-19752580	t|1e1.1o1|2e2.1o1	0.7245;0.2755	0.0963;0.0963	2	3	19752580-19752995;19752528-19752619	
AT5G45430.Araport11.447	AT5G45430.Araport11.447:s:18409059-18409211	s|1e1.1o1|2e1.1o1	0.9875;0.0125	0.0068;0.0068	2	2	18409207-18409303;18409211-18409303	
AT4G34265.Araport11.447	AT4G34265.Araport11.447:t:16403455-na	t|1e1.1o2|1e1.2o2|1e2.1o1	0.5943;0.0631;0.3413	0.0529;0.0276;0.0517	3	3	16402735-16403455;16402780-16403455;16403022-16403455	
AT3G53270.Araport11.447	AT3G53270.Araport11.447:t:19752112-19752177	t|1e1.1o1|1e2.1o1	0.1279;0.8721	0.0424;0.0424	2	3	19752177-19752995;19752177-19752428	
AT5G45430.Araport11.447	AT5G45430.Araport11.447:t:18409059-18409211	t|1e1.1o1|1e2.1o1|2e2.1o1	0.1870;0.5428;0.2861	0.1012;0.1288;0.1011	3	3	18408316-18409059;18408984-18409059;18408984-18409067	
AT3G53270.Araport11.447	AT3G53270.Araport11.447:s:19750844-19750919	s|1e1.1o1|1e2.1o1	0.9528;0.0472	0.0204;0.0204	2	3	19750635-19750844;19750629-19750844	
AT3G05090.Araport11.447	AT3G05090.Araport11.447:s:1422625-1422742	s|1e1.1o2|1e1.2o2	0.1118;0.8882	0.0470;0.0470	2	2	1422446-1422625;1422440-1422625	
AT5G18940.Araport11.447	AT5G18940.Araport11.447:s:6326774-6326848	s|1e1.1o2|1e1.2o2	0.0881;0.9119	0.0396;0.0396	2	2	6326848-6326928;6326848-6326939	
AT5G45430.Araport11.447	AT5G45430.Araport11.447:s:18410074-18410176	s|1e1.1o2|1e1.2o2	0.9852;0.0148	0.0071;0.0071	2	2	18410176-18410339;18410176-18410345	
AT2G20190.Araport11.447	AT2G20190.Araport11.447:s:8715297-8715651	s|1e1.1o1|1e2.1o1	0.0825;0.9175	0.0532;0.0532	2	3	8715192-8715297;8715187-8715297	
AT4G34310.Araport11.447	AT4G34310.Araport11.447:s:na-16414871	s|1e1.1o1|1e2.1o1	0.5286;0.4714	0.1233;0.1233	2	3	16414871-16415206;16414871-16415223	
AT1G01550.Araport11.447	AT1G01550.Araport11.447:s:na-199763	s|1e1.1o1|1e2.1o1	0.9590;0.0410	0.0159;0.0159	2	3	199763-199890;199763-200511	
AT3G05160.Araport11.447	AT3G05160.Araport11.447:s:1456884-na	s|1e1.1o1|1e2.1o1	0.9211;0.0789	0.0490;0.0490	2	3	1456596-1456884;1456107-1456884	
AT1G01550.Araport11.447	AT1G01550.Araport11.447:t:200511-na	t|1e1.1o1|1e2.1o1	0.0161;0.9839	0.0061;0.0061	2	3	199763-200511;199959-200511	
AT5G19000.Araport11.447	AT5G19000.Araport11.447:s:6343127-6343475	s|1e1.1o1|1e2.1o1	0.0615;0.9385	0.0255;0.0255	2	3	6343475-6343644;6343475-6344089	
AT3G05160.Araport11.447	AT3G05160.Araport11.447:t:1456018-1456107	t|1e1.1o1|1e2.1o1	0.0594;0.9406	0.0423;0.0423	2	3	1456107-1456884;1456107-1456534	
AT5G19000.Araport11.447	AT5G19000.Araport11.447:t:6344089-6344365	t|1e1.1o1|1e2.1o1	0.9520;0.0480	0.0263;0.0263	2	3	6343475-6344089;6343725-6344089	
